"Record Id","Institution Name","Institution Owner.id","Institution Owner","Zoho old ID","Europeana org. ID"
zcrm_486281000000923416,"Italian Film Library Foundation",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365137,
zcrm_486281000000923417,"Berlin-Brandenburg Academy of Sciences and Humanities",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365179,http://data.europeana.eu/organization/4566
zcrm_486281000000923418,"Ekphrasis Studio",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365261,
zcrm_486281000000923419,"Brandenburgisches Landesamt für Denkmalpflege und Archäologisches Landesmuseum",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365559,
zcrm_486281000000923420,"Bibliotheksservice-Zentrum Baden-Württemberg Universität Konstanz",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365587,
zcrm_486281000000923421,"Museum of Fine Arts Budapest",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365643,
zcrm_486281000000923422,"The National Archives of Ireland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365727,
zcrm_486281000000923423,"Trinity College Dublin",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365755,
zcrm_486281000000923424,"NHM Vienna",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365769,
zcrm_486281000000923425,"National Library of Estonia",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365797,
zcrm_486281000000923426,"Veria Central Public Library",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365831,
zcrm_486281000000923427,"State Archives of Baden-Württemberg",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365845,
zcrm_486281000000923428,"University of Pisa",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365873,
zcrm_486281000000923429,"University of Teramo",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365887,
zcrm_486281000000923430,"NTUA/Hellenic Ministry of Culture/Athena",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365971,
zcrm_486281000000923431,"Virtual Humanist Libraries, Tours University",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000365985,
zcrm_486281000000923432,FactMiners.org,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366009,
zcrm_486281000000923433,"SUB Göttingen",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366037,
zcrm_486281000000923434,"Biodiversity Heritage Library",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366065,
zcrm_486281000000923435,Ontotext,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366161,
zcrm_486281000000923436,"Music Library of Greece of The Friends of Music Society",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366189,
zcrm_486281000000923437,"Public Library Pencho Slaveykov, Varna",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366217,
zcrm_486281000000923438,"Institute for Development and International Relations",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366245,
zcrm_486281000000923439,"Peloponnesian Folklore Foundation",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366315,
zcrm_486281000000923440,"Federico Leva",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366371,
zcrm_486281000000923441,"Danish Broadcasting Corporation",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366385,
zcrm_486281000000923442,"Directorate-General for Archives",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366399,
zcrm_486281000000923443,"Fondazione Ugo Bordoni",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366441,
zcrm_486281000000923444,"GO! Onderwijs van de Vlaamse Gemeenschap",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366469,
zcrm_486281000000923445,"Digital Curation Unit Athena Research and Innovation Centre",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366497,
zcrm_486281000000923446,"META Projekt i.d.a.-Dachverband",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366511,
zcrm_486281000000923447,"Berlin Central and Regional Library",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366525,
zcrm_486281000000923448,"Ionian University",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366539,
zcrm_486281000000923449,"Austrian Academy of Sciences",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366567,
zcrm_486281000000923450,"Documentation Center of the Orfeó Català",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366635,
zcrm_486281000000923451,"Museum Rotterdam",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366663,
zcrm_486281000000923452,"National Library of the Republic of Moldova",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366677,
zcrm_486281000000923453,"University of Florence",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366719,
zcrm_486281000000923454,"University of Granada",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366733,
zcrm_486281000000923455,"Wikimedia Italy",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366757,
zcrm_486281000000923456,"Dizi Heritage",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366799,
zcrm_486281000000923457,"University of Edinburgh",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366875,
zcrm_486281000000923458,"Royal Institute for Cultural Heritage",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000366931,
zcrm_486281000000923459,"Utena A. and M. Miskiniai Public Library",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367007,
zcrm_486281000000923460,"Knowledge Integration Ltd",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367031,
zcrm_486281000000923461,"Sabhal Mòr Ostaig and Tobar an Dualchais",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367045,
zcrm_486281000000923462,"Lancashire Museums",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367059,
zcrm_486281000000923463,WMNL,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367083,
zcrm_486281000000923464,"Historical Information Center of Brabant",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367125,
zcrm_486281000000923465,"CLARIN ERIC",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367177,
zcrm_486281000000923466,"The County Archives in Sogn og Fjordane",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367205,
zcrm_486281000000923467,"National Library of Luxembourg",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367219,
zcrm_486281000000923468,"Babes-Bolyai University",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367247,
zcrm_486281000000923469,"National Museum in Warsaw",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367261,
zcrm_486281000000923470,"The National Library of Poland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367275,
zcrm_486281000000923471,"Kaunas County Public Library",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367289,
zcrm_486281000000923472,"Municipal archives of Trondheim",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367323,
zcrm_486281000000923473,"Spanish Embassy in Stockholm",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367351,
zcrm_486281000000923474,"National Audiovisual Institute Poland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367379,
zcrm_486281000000923475,"Maria Grzegorzewska Academy of Special Education, Main Library",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367393,
zcrm_486281000000923476,"Royal Botanic Gardens Kew",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367435,
zcrm_486281000000923477,"Tresoar - Frisian Historical and Literary Centre",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367511,
zcrm_486281000000923478,"Hungarian Academy of Sciences",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367553,
zcrm_486281000000923479,"University of Nottingham",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367609,
zcrm_486281000000923480,"British Universities Film & Video Council",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367623,
zcrm_486281000000923481,"Providence College",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367679,
zcrm_486281000000923482,"La Inmaculada Misioneras School",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367745,
zcrm_486281000000923483,"Georg-Eckert-Institute for International Textbook Research",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367801,
zcrm_486281000000923484,"Belgian Science Policy Office",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367843,
zcrm_486281000000923485,Murberget,zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367881,
zcrm_486281000000923486,"Västernorrland County Museum",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367895,
zcrm_486281000000923487,"National Trust for Scotland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367929,http://data.europeana.eu/organization/4456
zcrm_486281000000923488,"Szenum Berlin",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000367943,
zcrm_486281000000923489,"Danish History Teachers Association",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000368059,
zcrm_486281000000923490,"Dublin Institute for Advanced Studies",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000368073,
zcrm_486281000000923491,"IULM University",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000368097,
zcrm_486281000000923492,"National Archives of Finland",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000368135,
zcrm_486281000000923493,"Museum of Slavonia",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000368169,
zcrm_486281000000923494,"Glasgow School of Art",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000368211,
zcrm_486281000000923495,"Stichting Academisch Erfgoed",zcrm_486281000000330001,"Europeana Foundation",zcrm_1482250000000368239,
